industry_code,industry_name,candidate_type,recommendation_grade,related_target,uqer_indic_id,uqer_name,name_en,frequency,unit,stat_type,region,country,source,api,begin_date,end_date,is_update,recommendation_reason,key_risk,memo_cn
801010,农林牧渔,新增行业指标,A,,2010711926,价格:生猪:外三元,Price: Pig: Foreign Mixed Breed,日,元/公斤,当期值,全国,中国,博亚和讯,getEcoDataIndAgricultural,2016-01-04,2026-08-07,1,全国外三元生猪日频价格，直接反映养殖端供需与盈利周期。,民间报价来源；需检查节假日与缺失。,
801030,基础化工,新增行业指标,A,,2020761838,郑商所:PTA:期货结算价(主力),CZCE: PTA: Futures Settlement Price (Main Force),周,元/吨,均值,全国,中国,Datayes!,getEcoDataIndEnergy,2006-12-22,2026-08-07,1,PTA 主力期货周度结算价，可补充现货 PTA 的市场预期与库存周期。,期货主力构造不同于现货价格。,
801040,钢铁,更优替代候选,A,"中国:价格:螺纹钢(HRB400E,20mm)",2040001618,批发价:长材:螺纹钢:Φ20mm HRB400E,Wholesale Price: Long Products: Rebar: Φ20mm HRB400E,周,元/吨,当期值,全国,中国,发改委,getEcoDataIndSteel,2015-07-15,2026-06-26,1,Φ20mm HRB400E 周频价格水平，较已审批的月度环比更接近原始价格。,批发价与原 Wind 价格来源仍需数值对账。,
801040,钢铁,新增行业指标,A,,2040104240,钢材社会库存,Steel Social Inventory,周,万吨,当期值,全国,中国,兰格钢铁,getEcoDataIndSteel,2006-04-07,2026-08-05,1,全国钢材社会库存周频，直接覆盖钢铁供需与去库节奏。,需确认库存样本范围和统计口径是否稳定。,
801050,有色金属,新增行业指标,A,,2220100199,百川盈孚电解铝:参考价,Baichuan Yingfu Lectrolytic Aluminum: Reference Price,日,元/吨,当期值,全国,中国,Datayes!,getEcoDataIndChemical,2022-03-14,2026-07-08,1,全国电解铝日频参考价，可作为有色金属高频价格景气信号。,百川盈孚报价；历史从 2022 年开始。,
801050,有色金属,更优替代候选,A,美国:国债到期收益率:10年,3010200075,美国:国债收益率曲线:10年,U.S. Treasury Yield Curve: 10Y,日,%,当期值,,美国,美国财政部,getEcoDataGlobeUsa,1953-04-30,2026-08-07,1,美国财政部 10 年期国债收益率日频，准确替代已审批错误的 10Y-2Y 利差。,正式使用前做日期和节假日对齐。,
801050,有色金属,更优替代候选,B,中国:产能:电解铝:当月值,1020018365,规模以上工业产品生产能力:原铝(电解铝),Production Capacity of Industrial Enterprises above Designated Size: Primary Aluminum(ElectrolyzedAluminum),年,万吨,当期值,全国,中国,国家统计局,getEcoDataChina,2011-12-31,2024-12-31,1,统计对象确为原铝（电解铝）生产能力，比原铝产量更接近目标产能。,仅年频且最新为 2024 年，不能替代月频变化。,
801080,电子,更优替代候选,A,"现货平均价:DRAM:DDR3(4Gb(512Mx8),1600MHz)",2090715997,现货平均价:DRAM:DDR3 4Gb 512Mx8 1600MHz,Average Spot Price: DRAM: DDR3 4Gb 512Mx8 1600MHz,日,美元,当期值,全球,全球,全球半导体观察,getEcoDataIndElectronic,2013-05-29,2026-08-07,1,中文规格与原 Wind DDR3 4Gb 512Mx8 1600MHz 完全对应，且为日频。,需核对两源报价时点。,
801080,电子,新增行业指标,A,,2090726986,现货平均价:DRAM:DDR4 8Gb(1Gx8)3200,,日,美元,均值,,全球,DRAMexchange,getEcoDataIndElectronic,2023-03-03,2026-08-06,1,DDR4 8Gb 3200 日频现货平均价，规格较旧 DDR3 更贴近当前存储周期。,单一 DRAM 规格，不能代表全部半导体。,
801110,家用电器,新增行业指标,A,,2090102063,产量:空调:当月同比,Output: Air Condition: YoY,月,%,当期同比,全国,中国,国家统计局,getEcoDataIndElectronic,1997-02-28,2026-06-30,1,全国空调产量当月同比，补充终端销售之外的供给景气。,产量可能受库存调整影响，不能单独代表需求。,
801120,食品饮料,更优替代候选,A,中国:产量:乳制品:当月值,2110100015,产量:乳制品:当月值,Dairy Products: Output,月,万吨,当期值,全国,中国,国家统计局,getEcoDataIndFoodbeverage,1989-01-31,2026-06-30,1,全国乳制品产量当月值，与原指标统计对象直接对应。,需核对 Wind 是否使用相同国家统计局口径。,
801120,食品饮料,新增行业指标,A,,1020008718,"产量:白酒(折65度,商品量):当月同比","Output: Baijiu(65%VolEquivalent, CommodityQuantity):Current Month YoY",月,%,当期同比,全国,中国,国家统计局,getEcoDataChina,1997-01-31,2026-06-30,1,全国白酒折 65 度商品量产量同比，直接反映白酒供给周期。,折度口径与不同酒种结构需保留。,
801130,纺织服饰,新增行业指标,A,,2010004214,中国进口棉价格指数:M:折1%关税,China Imported Cotton Price Index: M: 1% Customs Duties,日,元/吨,当期值,中国大陆,中国,中国棉花协会,getEcoDataIndAgricultural,2005-08-01,2026-08-07,1,中国进口棉价格指数 M（折 1% 关税）日频，直接反映纺织上游成本。,进口棉口径，不等于国产棉价格。,
801140,轻工制造,新增行业指标,A,,2130700002,期货收盘价(活跃):纸浆,Futures Closing Price (Active): Pulp,日,元/吨,当期值,全国,中国,上海期货交易所,getEcoDataIndLightmanufactue,2018-11-27,2026-08-07,1,纸浆活跃期货日频收盘价，补充造纸成本和库存预期。,期货价格可能含金融交易噪声。,
801150,医药生物,新增行业指标,A,,1020008255,工业企业:利润总额:医药制造业:累计同比,Total Profit: Pharmaceutical Manufacturing Industry: Cumulative YoY,月,%,累计同比,全国,中国,国家统计局,getEcoDataChina,2001-02-28,2026-06-30,1,全国医药制造业利润总额累计同比，直接覆盖行业盈利景气。,累计同比有基数效应；1—2 月通常合并。,
801160,公用事业,更优替代候选,A,中国:利润总额:电力、热力、燃气及水生产和供应业:累计同比,1020005933,利润总额:电力、热力、燃气及水生产和供应业:累计同比,"Industrial Enterprises: Total Profit: Electricity, Heat and Water Production and Supply Industry: Cumulative YoY",月,%,累计同比,全国,中国,国家统计局,getEcoDataChina,2015-10-31,2026-06-30,1,电力、热力、燃气及水生产供应业利润累计同比，与原指标直接对应。,行业范围较宽，不能拆分单一公用事业子行业。,
801160,公用事业,新增行业指标,A,,1020001610,发电量:火电:当月同比,Output: Thermal Power: YoY,月,%,当期同比,全国,中国,国家统计局,getEcoDataChina,1997-02-28,2026-06-30,1,全国火电发电量当月同比，直接反映传统电源利用强度。,受水电来水、气温和能源结构共同影响。,
801170,交通运输,更优替代候选,A,中国出口集装箱运价指数:综合指数,2160000101,中国出口集装箱运价指数(CCFI):综合指数,China Containerized Freight Index (CCFI): Composite Indexes,周,1998年1月1日=1000,当期值,,中国,上海航运交易所,getEcoDataIndTraffictransport,2002-01-04,2026-08-07,1,CCFI 综合指数周频，准确对应中国出口集装箱运价综合指标。,航线权重和基期变更需记录。,
801170,交通运输,更优替代候选,A,中国:规模以上快递业务量:当月同比,2160606104,快递:业务量:当月同比,Express Delivery: Business Volume: Month YoY,月,%,当期同比,全国,中国,国家邮政局,getEcoDataIndTraffictransport,2008-02-29,2026-06-30,1,全国快递业务量当月同比，较业务收入更直接反映快递需求。,件量增长不等于收入增长。,
801180,房地产,新增行业指标,A,,2170000006,70个大中城市:新建商品住宅价格:环比上涨城市,70 Big and Medium-size Cities: New Commercial Housing Price: Cities with rising value compared with last period,月,个,当期值,,中国,国家统计局,getEcoDataIndRealestate,2011-01-31,2026-06-30,1,70 个大中城市新房价格环比上涨城市数，提供全国性扩散度信号。,是城市数量而非价格幅度。,
801180,房地产,更优替代候选,A,中国:房地产开发投资完成额:累计同比,1050000013,房地产开发投资完成额:累计同比,Real Estate Development Investment Completed Amount: Cumulative YoY,月,%,累计同比,全国,中国,国家统计局,getEcoDataChina,1992-02-29,2026-06-30,1,全国房地产开发投资累计同比，与原指标直接对应。,累计同比存在基数效应。,
801200,商贸零售,新增行业指标,B,,1040020070,iCPI:环比,iCPI: DoM,日,%,当期环比,全国,中国,清华大学iCPI项目组,getEcoDataChina,2016-01-01,2026-08-06,1,全国 iCPI 日频环比，可作为商贸零售价格与消费环境高频代理。,反映价格而非零售数量或金额。,
801210,社会服务,新增行业指标,B,,2180002608,全国星级饭店:每间可供出租客房收入,Star-Rated Hotels in China: Revenue Per Available Room,季,元/间夜,当期值,全国,中国,中华人民共和国文化与旅游部,getEcoDataIndCateringtourism,2010-09-30,2024-09-30,1,全国星级饭店 RevPAR，直接反映酒店入住率与房价的综合景气。,季频且最新为 2024-09，当前更新滞后。,
801710,建筑材料,更优替代候选,A,中国:市场价:浮法平板玻璃(4.8/5mm),1040001844,市场价:非金属建材:浮法平板玻璃(5/6mm):当期值,Market Price: Non-Metal Building Materials: Float Flat Glass (5/6mm): Current Value,旬,元/吨,当期值,全国,中国,国家统计局,getEcoDataChina,2013-12-30,2026-07-31,1,全国 5/6mm 浮法平板玻璃旬频价格水平，优于已审批的月度环比。,目标含 4.8/5mm，规格存在轻微差异。,2026年之前数据为浮法平板玻璃(4.8/5mm)口径
801720,建筑装饰,新增行业指标,A,,1050021433,固定资产投资完成额:基础设施建设投资:累计同比,Fixed Assets Investment Completed: Infrastructure Construction Investment: Cumulative YoY,月,%,累计同比,全国,中国,Datayes!,getEcoDataChina,2004-02-29,2026-06-30,1,全国基础设施建设投资累计同比，直接关联建筑装饰订单需求。,累计同比有基数效应，且基建定义需固定。,
801720,建筑装饰,更优替代候选,A,中国:房地产开发投资完成额:累计同比,1050000013,房地产开发投资完成额:累计同比,Real Estate Development Investment Completed Amount: Cumulative YoY,月,%,累计同比,全国,中国,国家统计局,getEcoDataChina,1992-02-29,2026-06-30,1,全国房地产开发投资累计同比，与建筑装饰原指标直接对应。,累计同比存在基数效应。,
801730,电力设备,新增行业指标,A,,1020008757,产量:太阳能电池:当月同比,Output: Solar Battery: Month YoY,月,%,当期同比,全国,中国,国家统计局,getEcoDataChina,2010-01-31,2026-06-30,1,全国太阳能电池产量当月同比，直接覆盖光伏制造景气。,产量增长可能伴随价格下跌，需与价格指标配合。,
801730,电力设备,更优替代候选,A,中国:出口数量:逆变器(85044030):当月值,2087039087,出口数量:逆变器(85044030):当月值,Export Quantity: Inverter(85044030): Current Month Value,月,个,当期值,中国,中国,海关总署,getEcoDataIndMachineryequipment,2015-01-31,2026-06-30,1,逆变器 HS85044030 出口数量当月值，与原指标直接对应。,海关编码调整风险。,
801740,国防军工,新增行业指标,A,,2160029349,全国造船完工量:累计同比,National Completion Quantity of Ship Building: Cumulative YoY,月,%,累计同比,,中国,中国船舶工业行业协会,getEcoDataIndTraffictransport,2013-12-31,2026-03-31,1,全国造船完工量累计同比，与新接订单和手持订单形成交付闭环。,累计同比受大船交付时点影响。,
801740,国防军工,更优替代候选,A,中国:固定资产投资完成额:制造业:铁路、船舶、航空航天和其他运输设备制造业:累计同比,1050000359,固定资产投资完成额:制造业:铁路、船舶、航空航天和其他运输设备制造业:累计同比,"Fixed Assets Investment Completed: Manufacturing: Railway, Marine, Aerospace And Other Transportation Equipment Manufacturing: Cumulative YoY",月,%,累计同比,全国,中国,国家统计局,getEcoDataChina,2012-02-29,2026-06-30,1,铁路、船舶、航空航天等运输设备制造投资累计同比，与原指标直接对应。,行业合并口径较宽。,
801750,计算机,更优替代候选,A,中国:固定资产投资完成额:制造业:计算机、通信和其他电子设备制造业:累计同比,1050000361,固定资产投资完成额:计算机、通信和其他电子设备制造业:累计同比,"Fixed Assets Investment Completed: Manufacturing: Computer, Communications And Other Electronic Equipment Manufacturing: Cumulative YoY",月,%,累计同比,全国,中国,国家统计局,getEcoDataChina,2004-02-29,2026-06-30,1,计算机、通信和其他电子设备制造业投资累计同比，与原指标直接对应。,同时覆盖计算机、通信和电子，行业范围较宽。,
801760,传媒,高频升级候选,A,中国:电影票房收入:当周值,2100726811,全国电影票房:当日票房,National Film Box Office: Daily Box Office Revenue,日,万元,当期值,全国,中国,中国电影数据信息网,getEcoDataIndCulture,2015-09-30,2026-08-07,1,全国电影票房当日值，比原周频票房更及时。,日频节假日效应很强，需使用同比或季节调整。,
801770,通信,更优替代候选,A,中国:产量:光缆:当月同比,2080617140,产量:光缆:当月同比,Output: Optical Cables: Month YoY,月,%,当期同比,全国,中国,国家统计局,getEcoDataIndMachineryequipment,2004-01-31,2026-06-30,1,全国光缆产量当月同比，与通信原指标直接对应。,光缆产量不能覆盖无线通信服务景气。,
801780,银行,新增行业指标,B,,2211000531,工商银行:净息差,ICBC: Net Interest Margin,季,%,期末值,全国,中国,上市公司公告,getEcoDataIndFinancialservices,2006-12-31,2026-03-31,1,工商银行净息差季度数据可作为大型银行息差方向的代表性代理。,单一银行，不可冒充商业银行全行业净息差。,
801790,非银金融,新增行业指标,A,,2210900111,原保险保费收入:原保险:累计同比,Original Insurance Premium Income: YoY,月,%,累计同比,全国,中国,中国保险业监督管理委员会,getEcoDataIndFinancialservices,2000-01-31,2026-06-30,1,全国原保险保费收入累计同比，补充保费绝对额的增长信号。,累计同比有基数效应。,不包括中华联合控股寿险业务
801880,汽车,更优替代候选,A,中国:销量:新能源汽车:当月值,2070936211,新能源汽车:销量:当月值,,月,辆,当期值,,中国,Datayes!,getEcoDataIndAutomobile,2011-11-30,2026-06-30,1,全国新能源汽车销量当月值，直接对应原目标。,需核对是否含商用车及口径调整。,
